"qq","troopid"
"54538777","105440071"
"2775015390","105440071"
"723899628","105440071"
"2837296817","105440071"
"1903820178","105440071"
"956335585","105440071"
"1171723136","105440071"
"3197644476","105440071"
"84535239","105440071"
"1776787526","105440071"
"280354714","105440071"
"519689466","105440071"
"43558660","105440071"
"54436034","105440071"
"233947003","105440071"
"371790861","105440071"
"1362594634","105440071"
"1330450077","105440071"
"2369537871","105440071"
"204980268","105440071"
"2818825446","105440071"
"49169291","105440071"
"996336265","105440071"
"752392437","105440071"
"942619856","105730001"
"514017880","105743673"
"409426146","105743673"
"53735134","105743673"
"77548696","105743673"
"670653122","105743673"
"49257953","105801017"
"2102530024","105877597"
"173390091","105877597"
"3101262254","105877597"
"409426146","105877597"
"101265586","105877597"
"1254968878","105877597"
"420396178","105877597"
"1411524212","105877597"
"349756104","105877597"
"27203222","105877597"
"35209963","105877597"
"528042936","105877597"
"550610648","105877597"
"2412431334","105877597"
"330693563","105877597"
"395658441","105877597"
"123018235","105877597"
"3182367241","105877597"
"3054767703","105877597"
"355553227","105877597"
"356239380","105877597"
"905748172","105877597"
"81424420","105963715"
"574880094","105998691"
"13632939","10603418"
"1009543367","1060350403"
"1060350403","1060350403"
"104367212","106513840"
"397806552","106524306"
"450994708","106650837"
"3074413421","106650837"
"1580478403","106650837"
"2499978394","106650837"
"1141050022","106650837"
"1820181062","106650837"
"1005189906","106650837"
"75618488","106650837"
"568600364","106650837"
"2735736501","106650837"
"459059597","106650837"
"1879728933","106650837"
"591953739","106650837"
"1020870011","106650837"
"996336265","106650837"
"663735631","106789641"
"394068917","106874695"
"693080496","106874695"
"2967332505","106874695"
"3191390197","106874695"
"99626919","106874695"
"82611113","106874695"
"406521573","106874695"
"67772282","106874695"
"448478263","106874695"
"40454703","10692085"
"497880131","107062435"
"1109529732","10709449"
"1770204276","10709449"
"8687549","10709449"
"408248386","10709449"
"78213674","10709449"
"1131528172","10709449"
"390757447","10709449"
"9860965","10709449"
"821105498","10709449"
"29076154","10709449"
"576689574","10709449"
"1696357101","10709449"
"249744437","10709449"
"568600364","10709449"
"232659727","10709449"
"303935377","10709449"
"1329335504","10709449"
"615565829","10709449"
"6990568","10709449"
"772311493","10709449"
"306581914","10709449"
"2538278946","10709449"
"19052770","10709449"
"115424843","10709449"
"7378710","10709449"
"93447616","10709449"
"240168889","10709449"
"1521979870","10709449"
"1828487379","10709449"
"418128889","10709449"
"39758165","10709449"
"1105031687","10709449"
"2274240538","10709449"
"69369227","10709449"
"1834249106","10709449"
"270944933","10709449"
"37210241","10709449"
"278547577","10709449"
"575930777","10709449"
"812260097","10709449"
"394434882","107259528"
"77432013","107308568"
"644834982","107433383"
"59386414","1074432874"
"","107466221"
"949445224","107466221"
"429431262","107469013"
"417989593","107469013"
"444152203","107469013"
"27203222","107469013"
"1057493808","107469013"
"313335312","107469013"
"79208087","107469013"
"93447616","107469013"
"278804926","107469013"
"1220691556","107469013"
"148270559","107469013"
"406521573","107469013"
"181158565","107469013"
"448478263","107469013"
"69369227","107469013"
"772507465","107469013"
"005412","107534910"
"0054485","107534910"
"006135","107534910"
"1015326636","107534910"
"1121867546","107534910"
"1136371457","107534910"
"123314358","107534910"
"1260435327","107534910"
"1279677620","107534910"
"13185472","107534910"
"1362862607","107534910"
"146623820","107534910"
"1474176181","107534910"
"1497617936","107534910"
"18100000000","107534910"
"1969669416","107534910"
"1989489169","107534910"
"1994643979","107534910"
"1nul","107534910"
"2030140549","107534910"
"2141657137","107534910"
"2217994437","107534910"
"232889966","107534910"
"2372004687","107534910"
"2380732844","107534910"
"2777157369","107534910"
"315960706","107534910"
"3159607065","107534910"
"3248058617","107534910"
"3259628059","107534910"
"3265673800","107534910"
"329604761","107534910"
"329604761","107534910"
"3332820779","107534910"
"350024762","107534910"
"360247284","107534910"
"361905092","107534910"
"3919618","107534910"
"397802908","107534910"
"417027921","107534910"
"441806327","107534910"
"4708774","107534910"
"5005693","107534910"
"654944545","107534910"
"75290113","107534910"
"871391426","107534910"
"2544912123","107534910"
"1989586126","107534910"
"1348272207","107534910"
"3317518295","107534910"
"780492525","107534910"
"214558450","107534910"
"4050114","107534910"
"1619639293","107534910"
"1911965673","107534910"
"1486645038","107534910"
"275430547","107534910"
"360079004","107534910"
"303769154","107534910"
"249072315","107534910"
"3169213861","107534910"
"879417567","107534910"
"1773457168","107534910"
"765977100","107534910"
"344172826","107534910"
"1307271358","107534910"
"960020899","107534910"
"1580478403","107534910"
"2624926004","107534910"
"228742634","107534910"
"2797769806","107534910"
"526136931","107534910"
"774680446","107534910"
"531323167","107534910"
"466338382","107534910"
"328718427","107534910"
"3086417933","107534910"
"1910299372","107534910"
"564724649","107534910"
"175564758","107534910"
"2829894069","107534910"
"38794469","107534910"
"2053764279","107534910"
"11099983","107534910"
"29997599","107534910"
"448687843","107534910"
"18451265","107534910"
"1010800695","107534910"
"1523375767","107534910"
"2098248385","107534910"
"2530298792","107534910"
"1346384635","107534910"
"2366542852","107534910"
"317393776","107534910"
"2977101266","107534910"
"1641045025","107534910"
"455827332","107534910"
"994784853","107534910"
"2324455689","107534910"
"2081847805","107534910"
"2856555781","107534910"
"1801186571","107534910"
"3083410049","107534910"
"123271362","107534910"
"125126280","107534910"
"1820181062","107534910"
"271850494","107534910"
"572946572","107534910"
"346246587","107534910"
"113318335","107534910"
"476392996","107534910"
"2780455969","107534910"
"69877372","107534910"
"943358268","107534910"
"236010426","107534910"
"1056805601","107534910"
"290774294","107534910"
"767245572","107534910"
"1537876791","107534910"
"2691693391","107534910"
"782416310","107534910"
"2210624669","107534910"
"3124679589","107534910"
"2920279385","107534910"
"1923086356","107534910"
"3051284867","107534910"
"444152203","107534910"
"767211610","107534910"
"343478890","107534910"
"1369266958","107534910"
"1369596119","107534910"
"408278956","107534910"
"1176313827","107534910"
"2262783298","107534910"
"7492266","107534910"
"241326220","107534910"
"474551715","107534910"
"84158343","107534910"
"1159339078","107534910"
"702245370","107534910"
"982096597","107534910"
"1248120062","107534910"
"294759431","107534910"
"516101949","107534910"
"961392298","107534910"
"276712168","107534910"
"3187826726","107534910"
"2270961456","107534910"
"513965123","107534910"
"13780431","107534910"
"35720447","107534910"
"120406614","107534910"
"2070711275","107534910"
"1638869587","107534910"
"9184467","107534910"
"532315496","107534910"
"56273608","107534910"
"413316539","107534910"
"277166358","107534910"
"40287230","107534910"
"2846174791","107534910"
"56389921","107534910"
"582160274","107534910"
"507483502","107534910"
"2823630871","107534910"
"41567550","107534910"
"704981160","107534910"
"675613246","107534910"
"14232650","107534910"
"1099464560","107534910"
"42727312","107534910"
"344173484","107534910"
"2249079288","107534910"
"2837296817","107534910"
"312082020","107534910"
"714547514","107534910"
"450685440","107534910"
"1651218962","107534910"
"84866895","107534910"
"584944335","107534910"
"182391655","107534910"
"793126855","107534910"
"114697918","107534910"
"734023397","107534910"
"1424019074","107534910"
"2294229120","107534910"
"956335585","107534910"
"273662739","107534910"
"1762348527","107534910"
"815130112","107534910"
"2476410316","107534910"
"258050645","107534910"
"2543437484","107534910"
"2737321720","107534910"
"851996386","107534910"
"773969074","107534910"
