"","qq","troopid"
"475","1042494014",299342971
"476","1042494014",31628277
"477","1042494014",413519021
"478","1042494014",79746176
"479","1042494014",9458450
"480","1042587755",431560596
"481","1043373325",117839365
"482","1043373325",148613080
"483","1043373325",169819160
"484","1043373325",186913853
"485","1043373325",264012989
"486","1043373325",299342971
"487","1043373325",306660878
"488","1043373325",361086108
"489","1043373325",60045404
"490","1043373325",78814260
"491","104367212",118797678
"492","104367212",164915143
"493","104367212",175339020
"494","104367212",229834320
"495","104367212",237665783
"496","104367212",249094573
"497","104367212",287975913
"498","104367212",297299970
"499","104367212",334171894
"500","104367212",372201338
"501","104367212",452126286
"502","104367212",456397649
"503","104367212",474566990
"504","104367212",93095678
"505","1043785505",143452998
"506","1043785505",14579008
"507","1043785505",150718990
"508","1043785505",169085235
"509","1043785505",175463076
"510","1043785505",286705506
"511","1043785505",288179562
"512","1043785505",364189550
"513","1043785505",371495942
"514","1043785505",397345368
"515","1043785505",410047491
"516","1043785505",423686665
"517","1043785505",79746176
"518","1044019306",102038086
"519","1044019306",17867453
"520","1044019306",224898182
"521","1044019306",91519241
"522","1047100869",128550518
"523","1047100869",13207573
"524","1047100869",167197526
"525","1047100869",186822140
"526","1047100869",213319931
"527","1047100869",228180590
"528","1047100869",247194022
"529","1047100869",276847516
"530","1047100869",316593892
"531","1047100869",32917463
"532","1047100869",79746176
"533","1047100869",97849670
"534","104794153",102038086
"535","104794153",128759777
"536","104794153",136382522
"537","104794153",138845219
"538","104794153",140542305
"539","104794153",14579008
"540","104794153",146988906
"541","104794153",160706566
"542","104794153",168080856
"543","104794153",182209513
"544","104794153",186822140
"545","104794153",194511207
"546","104794153",200072687
"547","104794153",212471097
"548","104794153",213319931
"549","104794153",244535556
"550","104794153",26014476
"551","104794153",324625883
"552","104794153",32917463
"553","104794153",346060457
"554","104794153",391277158
"555","104794153",414945924
"556","104794153",427099963
"557","104794153",450163837
"558","104794153",79746176
"559","1047999256",113776916
"560","1047999256",131279103
"561","1047999256",152068559
"562","1047999256",159466319
"563","1047999256",171445161
"564","1047999256",176859600
"565","1047999256",17867453
"566","1047999256",183272706
"567","1047999256",20319934
"568","1047999256",222506668
"569","1047999256",223768587
"570","1047999256",230325333
"571","1047999256",249334621
"572","1047999256",251190542
"573","1047999256",252498149
"574","1047999256",276847516
"575","1047999256",31628277
"576","1047999256",363534520
"577","1047999256",37669680
"578","1047999256",49076926
"579","1049575798",117839365
"580","1049575798",128550518
"581","1049575798",142067876
"582","1049575798",186822140
"583","1049575798",189991045
"584","1049575798",198620056
"585","1049575798",213319931
"586","1049575798",235766178
"587","1049575798",239466861
"588","1049575798",253659345
"589","1049575798",264012989
"590","1049575798",275477343
"591","1049575798",2815622
"592","1049575798",316593892
"593","1049575798",32917463
"594","1049575798",410047491
"595","1049575798",413519021
"596","1049575798",417592171
"597","1049575798",423686665
"598","1049575798",64635876
"599","1049575798",79746176
"600","1049575798",91519241
"601","1049575798",97849670
"602","1050190757",128550518
"603","1050190757",135512928
"604","1050190757",186189870
"605","1050190757",186822140
"606","1050190757",190893895
"607","1050190757",194511207
"608","1050190757",195629682
"609","1050190757",218652063
"610","1050190757",228180590
"611","1050190757",235766178
"612","1050190757",247194022
"613","1050190757",318047190
"614","1050190757",385090976
"615","1050190757",417592171
"616","1050190757",427099963
"617","1050190757",455081323
"618","1050190757",49076926
"619","1050190757",7859532
"620","1052104290",107534910
"621","1052104290",221360973
"622","1052478956",13292352
"623","1052846408",105073892
"624","1052846408",14579008
"625","1052846408",15176325
"626","1052846408",169819160
"627","1052846408",218652063
"628","1052846408",235189962
"629","1052846408",339059088
"630","1052846408",61198126
"631","1054672889",120873964
"632","1054672889",159029664
"633","1054672889",193979023
"634","1054672889",427844008
"635","105469364",100925869
"636","105469364",109417436
"637","105469364",114760877
"638","105469364",119467102
"639","105469364",136382522
"640","105469364",138636556
"641","105469364",138861631
"642","105469364",156323540
"643","105469364",167635183
"644","105469364",169233612
"645","105469364",169819160
"646","105469364",181450247
"647","105469364",184553838
"648","105469364",184571663
"649","105469364",209987395
"650","105469364",212471097
"651","105469364",218384660
"652","105469364",222506668
"653","105469364",237296109
"654","105469364",249900768
"655","105469364",276847516
"656","105469364",277833943
"657","105469364",280097380
"658","105469364",286705506
"659","105469364",306660878
"660","105469364",31628277
"661","105469364",369020991
"662","105469364",384182259
"663","105469364",5665777
"664","105469364",60045404
"665","105469364",61198126
"666","105469364",74561271
"667","105469364",78814260
"668","105469364",91519241
"669","1054972725",142067876
"670","1054972725",167635183
"671","1054972725",182813877
"672","1054972725",248928360
"673","1056537256",145164815
"674","1056537256",398685215
"675","1056537256",427844008
"676","1056805601",107534910
"677","1056805601",112822629
"678","1056805601",113187526
"679","1056805601",115056706
"680","1056805601",14338171
"681","1056805601",164816393
"682","1056805601",209480900
"683","1056805601",234331
"684","1056805601",250606734
"685","1056805601",25498640
"686","1056805601",262566769
"687","1056805601",80053905
"688","1057493808",102038086
"689","1057493808",107469013
"690","1057493808",130352342
"691","1057493808",140542305
"692","1057493808",15176325
